sale_id,customer_id,product_name,category,quantity,unit_price,total_amount,sale_date,sales_rep,region
1001,101,Laptop Pro X1,Electronics,2,1299.99,2599.98,2024-01-15,John Smith,North
1002,102,Office Chair Deluxe,Furniture,1,399.50,399.50,2024-01-16,Sarah Johnson,South
1003,103,Wireless Headphones,Electronics,3,89.99,269.97,2024-01-17,Mike Davis,East
1004,104,Standing Desk,Furniture,1,749.00,749.00,2024-01-18,Lisa Brown,West
1005,105,Smartphone Pro,Electronics,1,899.99,899.99,2024-01-19,John Smith,North
1006,106,Gaming Monitor,Electronics,2,329.99,659.98,2024-01-20,Sarah Johnson,South
1007,107,Ergonomic Keyboard,Electronics,1,159.99,159.99,2024-01-21,Mike Davis,East
1008,108,Conference Table,Furniture,1,1299.00,1299.00,2024-01-22,Lisa Brown,West
1009,109,Tablet Ultra,Electronics,1,499.99,499.99,2024-01-23,John Smith,North
1010,110,Office Bookshelf,Furniture,2,199.99,399.98,2024-01-24,Sarah Johnson,South
1011,111,Wireless Mouse,Electronics,5,49.99,249.95,2024-01-25,Mike Davis,East
1012,112,Executive Chair,Furniture,1,899.00,899.00,2024-01-26,Lisa Brown,West
1013,113,External SSD,Electronics,3,129.99,389.97,2024-01-27,John Smith,North
1014,114,Coffee Table,Furniture,1,349.99,349.99,2024-01-28,Sarah Johnson,South
1015,115,Smart Watch,Electronics,2,299.99,599.98,2024-01-29,Mike Davis,East
1016,101,Docking Station,Electronics,1,199.99,199.99,2024-01-30,Lisa Brown,West
1017,102,File Cabinet,Furniture,1,249.99,249.99,2024-01-31,John Smith,North
1018,103,Bluetooth Speaker,Electronics,2,79.99,159.98,2024-02-01,Sarah Johnson,South
1019,104,Adjustable Lamp,Furniture,1,89.99,89.99,2024-02-02,Mike Davis,East
1020,105,Webcam HD,Electronics,1,119.99,119.99,2024-02-03,Lisa Brown,West
1021,106,Storage Cabinet,Furniture,1,399.99,399.99,2024-02-04,John Smith,North
1022,107,USB Hub,Electronics,3,39.99,119.97,2024-02-05,Sarah Johnson,South
1023,108,Meeting Room Table,Furniture,1,1599.00,1599.00,2024-02-06,Mike Davis,East
1024,109,Noise Cancelling Headphones,Electronics,1,349.99,349.99,2024-02-07,Lisa Brown,West
1025,110,Printer Stand,Furniture,1,129.99,129.99,2024-02-08,John Smith,North
1026,111,Graphics Tablet,Electronics,1,249.99,249.99,2024-02-09,Sarah Johnson,South
1027,112,Lounge Chair,Furniture,2,599.99,1199.98,2024-02-10,Mike Davis,East
1028,113,Power Bank,Electronics,4,59.99,239.96,2024-02-11,Lisa Brown,West
1029,114,Side Table,Furniture,2,149.99,299.98,2024-02-12,John Smith,North
1030,115,Portable Hard Drive,Electronics,2,99.99,199.98,2024-02-13,Sarah Johnson,South
